Data,Link,Título,Data Detalhada,Conteúdo Detalhado
"11 Aug 2022,The Civil Aviation Safety Reporting Management Rules are released by CAAC.,China,,Transportation; Infrastructure and Logistics; Airlines,
                                                    Civil Aviation Administration of China
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-civil-aviation-safety-reporting-management-rules-are-released-by-caac,The Civil Aviation Safety Reporting Management Rules are released by CAAC.,"Thursday, 18 August 2022","The Management Rules on Reporting Information on Civil Aviation Safety were recently released by CAAC to improve management of active reporting of information on civil aviation safety and encourage front-line employees, public institutions, and civil aviation enterprises to participate in safety management and risk reporting. The Management Rules also provide the fundamentals, channels, and practices for proactive reporting of safety information in order to quickly spot concealed threats and adequately mitigate safety hazards."
"11 Aug 2022,Regulations on Cargo Acceptance at Air Cargo Stations are published by CAAC.,China,,Transportation; Infrastructure and Logistics,
                                                    Civil Aviation Administration of China
                                                ,",https://www.globaldata.com/esg/regulatorysummary/regulations-on-cargo-acceptance-at-air-cargo-stations-are-published-by-caac,Regulations on Cargo Acceptance at Air Cargo Stations are published by CAAC.,"Thursday, 18 August 2022","In order to further control cargo acceptance management at air cargo stations and enable their efficient and orderly operation, CAAC recently revised the Regulations on Cargo Acceptance at Air Cargo Stations (hereinafter referred to as the Regulations). On October 1, 2022, the Regulations will go into force. Airport cargo stations, carrier-owned cargo stations, and third-party-owned cargo stations are all subject to the Regulations. It does not apply to post express companies or other businesses that post and transport goods for distribution; it only applies to cargo stations when they act as ground handling agents. The Regulations spell out pertinent acceptance limits, such as the kinds of cargo that cannot be accepted and the paperwork required for restricted cargo. It outlines the fundamental requirements for workers in charge of accepting goods, including their training, responsibilities, and staffing level."
"9 Aug 2022,EASA publishes guidelines and templates for Dangerous Goods exemptions.,Europe,,Transportation; Infrastructure and Logistics,
                                                    European Union Aviation Safety Agency
                                                ,",https://www.globaldata.com/esg/regulatorysummary/easa-publishes-guidelines-and-templates-for-dangerous-goods-exemptions,EASA publishes guidelines and templates for Dangerous Goods exemptions.,"Tuesday, 16 August 2022","The European Union Aviation Safety Agency (EASA) has issued guidance and a template exemption form for National Aviation Authorities to use when granting exemptions in accordance with ICAO Annex 18 and Technical Instructions for the Safe Transport of Dangerous Goods by Air (Doc 9284) Part 1,1.1.3, to which Regulation (EU) 965/2012 refers. EASA advises using the form and associated instructions to encourage uniformity among Member States for granting exemptions. The administrative load placed on air operators is significantly reduced by the use of a single and standardised process and material."
"4 Aug 2022,Creating a domestic implementation system for international projects to reduce greenhouse gas emissions.,South Korea,Environment; Climate Change; Carbon Emissions,Government and Non-Profit Organisations,
                                                    Ministry of Environment (South Korea)
                                                ,",https://www.globaldata.com/esg/regulatorysummary/creating-a-domestic-implementation-system-for-international-projects-to-reduce-greenhouse-gas-emissions,Creating a domestic implementation system for international projects to reduce greenhouse gas emissions.,"Thursday, 11 August 2022","The ""1st International Emissions Reduction Council"" was held on August 2 (Tue) at 9 a.m. at the Government Complex Sejong, chaired by CNC secretary general Lee Jung-won (2nd Vice Minister, Office for Government Policy Coordination). The Council heard reports and made decisions on the four agendas1 for the organisation and activation of a domestic promotion system for international emissions reduction projects. In addition, as part of the promotion system for international emissions reduction projects, the council reorganised the legal system by establishing a ""integrated support platform"" for working-level officials of relevant ministries, which is overseen by CNC and the International Emissions Reduction Council (chairman: 2nd Vice Minister). The council also prepared a draught announcement of international emission-cutting projects. Furthermore, the council intends to submit a non-disclosed ""international emissions reduction project promotion strategy (draught)"" containing measures to activate international emissions reduction projects to the Ministerial Meeting on International Economic Affairs in August. The International Emissions Reduction Council was established by the Framework Act on Carbon Neutrality's Enforcement Decree to review and revise2 matters concerning international emissions reduction projects."
"1 Aug 2022,Changes to the Guidance Document Authorization Procedures for COVID-19 Medications During a Pandemic HMV4,Switzerland,,Healthcare,
                                                    Swissmedic
                                                ,",https://www.globaldata.com/esg/regulatorysummary/changes-to-the-guidance-document-authorization-procedures-for-covid-19-medications-during-a-pandemic-hmv4,Changes to the Guidance Document Authorization Procedures for COVID-19 Medications During a Pandemic HMV4,"Monday, 08 August 2022","According to the requirements set forth, the marketing authorization holder is required to regularly assess the effectiveness of medications used to prevent and/or treat COVID-19 against current SARS-CoV-2 variations. Swissmedic emphasises in the most recent iteration of the Guidance paper what data it requires when WHO designates a SARS-CoV-2 variant as a variant of interest, variant of concern, or lineage under monitoring (section 8). The Access position papers' Annex 1 and 2 have been removed as part of the amendment, and section 9's explanatory notes have been amended. The Access position papers are now mentioned in place of the Annexes and can be found on the Swissmedic website."
"1 Aug 2022,New legislation to combat illegal hare coursing is now in effect.,United Kingdom,Farm Animal Welfare; Environment,Travel and Tourism; Casinos And Gambling,
                                                    Department for Environment, Food and Rural Affairs
                                                ,",https://www.globaldata.com/esg/regulatorysummary/new-legislation-to-combat-illegal-hare-coursing-is-now-in-effect,New legislation to combat illegal hare coursing is now in effect.,"Tuesday, 09 August 2022","The Police Crime Sentencing and Courts Act 2022 includes tougher sentencing and expanded powers to combat the cruel practise of chasing hares with dogs. Hare coursing is a cruel practise that has been banned for many years (1 August 2022). Anyone caught hare coursing now faces an unlimited fine and up to six months in prison.
These new measures strengthen hare coursing law enforcement by increasing the maximum penalties for convictions under existing legislation, introducing new criminal offences, and giving courts new powers to bar convicted offenders from owning or keeping dogs."
"28 Jul 2022,The rail regulator publishes key documents for future rail network regulations,United Kingdom,Environment; Social; Sustainable Railways,Transportation; Infrastructure and Logistics,
                                                    Office of Rail and Road
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-rail-regulator-publishes-key-documents-for-future-rail-network-regulations,The rail regulator publishes key documents for future rail network regulations,"Monday, 08 August 2022","The Office of Rail and Road (ORR) published four key documents today concerning the future regulation of the UK rail network.
Three of these are in support of the ORR's 2023 periodic review (PR23), which will determine Network Rail's outputs and funding for Control Period 7 (2024-2029) and, in the future, apply to Great British Railways, the new body that will oversee much of Great Britain's rail transport. Periodic reviews are a key mechanism through which ORR holds Network Rail accountable and ensures value for money."
"28 Jul 2022,Rail network regulation in the future,Europe; United Kingdom,Sustainable Railways,Transportation; Infrastructure and Logistics,
                                                    Office of Rail and Road
                                                ,",https://www.globaldata.com/esg/regulatorysummary/rail-network-regulation-in-the-future,Rail network regulation in the future,"Tuesday, 02 August 2022","Will Godfrey, Director of Economics, Finance, and Markets, discusses periodic review (PR23) consultations, ORR guidance to Network Rail on the development of its five-year Business Plan, and the response to the UK Government on proposed legislative reforms."
"26 Jul 2022,The Government of Canada has begun second round of public consultations to establish the Clean Electricity Regulations.,Canada,Environment; Carbon Emissions,Energy Infrastructure; Energy Efficiency,
                                                    Environment and Climate Change Canada
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-government-of-canada-has-begun-second-round-of-public-consultations-to-establish-the-clean-electricity-regulations,The Government of Canada has begun second round of public consultations to establish the Clean Electricity Regulations.,"Tuesday, 02 August 2022","The publication of the Draft Framework for the Clean Electricity Regulations was announced by the Minister of Environment and Climate Change. The Clean Electricity Regulations will be developed using this as the second engagement document. It comes after a discussion paper that was released in March 2022. The federal government worked with the provinces and territories, Indigenous partners, utilities, businesses, academic institutions, non-governmental organizations, and interested Canadians to design the CER, formerly known as the Clean Electricity Standard. This inclusive strategy promotes the competitiveness of the economy by giving provinces and territories a clear framework on which to plan and run their energy networks, while continuing to supply Canadians with dependable electricity and keeping costs for consumers and businesses reasonable. Canada’s CER is being developed around three core principles:"
"25 Jul 2022,NOAA Issues First Comprehensive Mitigation Policy to Conserve Natural Resources,North America; United States,Environment; Resource Scarcity; Natural Resources; Biodiversity; Sustainable Fishery; Water Management; Marine Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/noaa-issues-first-comprehensive-mitigation-policy-to-conserve-natural-resources,NOAA Issues First Comprehensive Mitigation Policy to Conserve Natural Resources,"Monday, 01 August 2022","This policy contributes to NOAA's mission of conserving and restoring marine, estuarine, and freshwater resources, as well as the ecosystems that sustain them. NOAA's policy aims to put in place climate-resilient mitigation options that will last in the long run. NOAA will use effective mitigation principles to achieve our programme goals, spread best practises across the country, and encourage private-sector investment in mitigation banks. The policy emphasises the importance of working with underserved communities and stakeholders to incorporate social equity goals into mitigation planning."
"25 Jul 2022,The Canadian government takes the next step toward improved plastic recyclability, compostability, and tracking.,Canada,Environment; Circular Economy; Pollution; Sustainable Packaging; Hazardous Waste Management,Consumer; Packaging; Recycling; Packaging Material,
                                                    Environment and Climate Change Canada
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-canadian-government-takes-the-next-step-toward-improved-plastic-recyclability-compostability-and-tracking,"The Canadian government takes the next step toward improved plastic recyclability, compostability, and tracking.","Monday, 01 August 2022","In order to fulfil Canada's promises on plastic waste and pollution, the Minister of the Environment and Climate Change today announced the commencement of two consultations to: The use of the chasing-arrows symbol and other recyclability claims on plastic products would be prohibited under new labelling rules unless at least 80% of Canadians have access to recycling systems that accept and have reliable end markets for these products. Plastic products cannot be reprocessed and reintroduced to the market as part of a circular economy unless they have these features. Labeling regulations would also govern the use of words like ""compostable"" and ""biodegradable"" on plastic products, requiring them to be certified by a third-party organisation."
"25 Jul 2022,Efforts to Accelerate the Environmental Clearance Process & Protecting and Conserving Wildlife, Endangered Species,India,Sustainable Forestry; Endangered Species Protection; Environment; Climate Change; Biodiversity,Agriculture & Forestry; Government and Non-Profit Organisations,
                                                    Ministry of Environment, Forest and Climate Change, India
                                                ,",https://www.globaldata.com/esg/regulatorysummary/efforts-to-accelerate-the-environmental-clearance-process-protecting-and-conserving-wildlife-endangered-species,"Efforts to Accelerate the Environmental Clearance Process & Protecting and Conserving Wildlife, Endangered Species","Monday, 01 August 2022","According to information available on the PARIVESH Portal, approximately 172 proposals from various States/UTs are being dealt with at the Central level, including one Environmental Clearance (EC) proposal received from the State of Punjab and three EC proposals received from the State of Bihar for grant of EC. At the central level, no EC proposal has been received from the District Bhagalpur. The Central Government has taken a number of steps to expedite the EC process, including the following: Similarly, the government has taken a number of steps to protect and conserve wildlife and endangered plant and animal species. These, among others, are: "
"25 Jul 2022,The new International Harmonization Rule will help to speed up the movement of goods while also lowering costs for Americans.,United States,Hazardous Waste Management; Non Hazardous Waste Management; Sustainable Shipping; Sustainable Transportation; Pollution; Environment; Social; Climate Change,Consumer; Transportation; Infrastructure and Logistics,
                                                    U.S. Department of Transportation
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-new-international-harmonization-rule-will-help-to-speed-up-the-movement-of-goods-while-also-lowering-costs-for-americans,The new International Harmonization Rule will help to speed up the movement of goods while also lowering costs for Americans.,"Monday, 01 August 2022","The new regulation is expected to save $250 million in shipping costs over the next ten years. WASHINGTON (AP) — The Pipeline and Hazardous Materials Safety Administration (PHMSA) of the United States Department of Transportation (DOT) announced today a Final Rule amending the Federal Hazardous Materials Regulations (HMR) to align U.S. laws with numerous international standards. The Final Rule increases safety, streamlines the transportation of hazardous materials such as medical supplies, batteries, and manufacturing components, and encourages shippers to package goods more efficiently. The PHMSA estimates that the rule will save consumers approximately $250 million in shipping costs over the next ten years."
"25 Jul 2022,New Banking Regulations for international Purchase,India,,Government and Non-Profit Organisations; Financial Services,
                                                    Ministry of Defence
                                                ,",https://www.globaldata.com/esg/regulatorysummary/new-banking-regulations-for-international-purchase,New Banking Regulations for international Purchase,"Monday, 01 August 2022","In accordance with the opening of government business allocation to private sector banks by the Department of Financial Services, the Ministry of Defence has assigned HDFC Bank, ICICI Bank, and Axis Bank to provide financial services in the form of Letter of Credit (LC) and Direct Benefit Transfer (DBT) business for the Ministry's overseas procurement. Until now, only authorised Public Sector Banks provided these services to the Ministry. The transfer of LC and DBT business to private sector banks is expected to increase competition and efficiency in the banking industry."
"25 Jul 2022,The approval of the Genetic Engineering Appraisal Committee (GEAC) is now mandatory for the release of genetically modified (GM) crops into the environment.,India,Food and Agri Tech,Agriculture & Forestry,
                                                    Ministry of Environment, Forest and Climate Change, India
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-approval-of-the-genetic-engineering-appraisal-committee-geac-is-now-mandatory-for-the-release-of-genetically-modified-gm-crops-into-the-environment,The approval of the Genetic Engineering Appraisal Committee (GEAC) is now mandatory for the release of genetically modified (GM) crops into the environment.,"Monday, 01 August 2022","The Genetic Engineering Appraisal Committee (GEAC) is a statutory committee established under the Environment (Protection) Act, 1986, under the ""Rules for the Manufacture, Use/Import/Export, and Storage of Hazardous Micro Organisms/Genetically Engineered Organisms or Cells (Rules, 1989)."" GEAC considers applications in accordance with the provisions of the Rules of 1989 and subsequent amendments. Every application has its own form and pre-requisite documents, as well as recommendations where necessary. The introduction of genetically modified (GM) crops into the environment requires approval from the Genetic Engineering Appraisal Committee (GEAC). According to the ""Rules 1989,"" State/UT Biotechnology Coordination Committees and District Level Committees are in charge of keeping an eye out for instances of unauthorised GM crop growing and taking the necessary legal action in accordance with the Environment (Protection) Act, 1986. The State Biotechnology Coordination Committee is presided over by the Chief Secretary of State for the state of Utah (SBCC). Any concerns that the GEAC secretariat becomes aware of are forwarded to the Chief Secretary."
"25 Jul 2022,The Model Tenancy Act seeks to balance the rights of tenants and landlords while also creating an accountable and transparent environment for the disciplined and efficient rental of premises.,India,Social Housing,Real Estate; Construction,
                                                    Ministry of Housing and Urban Affairs, India
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-model-tenancy-act-seeks-to-balance-the-rights-of-tenants-and-landlords-while-also-creating-an-accountable-and-transparent-environment-for-the-disciplined-and-efficient-rental-of-premises,The Model Tenancy Act seeks to balance the rights of tenants and landlords while also creating an accountable and transparent environment for the disciplined and efficient rental of premises.,"Monday, 01 August 2022","The Model Tenancy Act (MTA) seeks to balance the rights of all types of tenants and landlords, as well as to create an accountable and transparent ecosystem for the disciplined and efficient rental of premises. MTA was approved by the Union Cabinet on June 2, 2021, and it was distributed by the Ministry of Housing and Urban Affairs (MoHUA) to all states and union territories (UTs) on June 7, 2021, for adoption by enacting new legislation or amending existing rental laws. As per information available with MoHUA, the States of Andhra Pradesh, Tamil Nadu, Uttar Pradesh and Assam have revised Tenancy Acts on the lines of MTA."
"21 Jul 2022,The FRC publishes guidelines for conducting effective AGMs.,United Kingdom,Shareholder Engagement; Corporate Structure,Government and Non-Profit Organisations; Financial Services,
                                                    The Financial Reporting Council Ltd
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-frc-publishes-guidelines-for-conducting-effective-agms,The FRC publishes guidelines for conducting effective AGMs.,"Thursday, 28 July 2022","The Financial Reporting Council (FRC) issued new guidance today for publicly traded companies to improve effective shareholder participation when planning and conducting AGMs. The FRC has issued specific guidance on the subject for the first time. The guidance, developed with input from a wide range of stakeholders, provides practical advice to assist companies in ensuring that their AGMs are well-run constructive forums for effective engagement. It addresses critical issues such as board engagement with shareholders, communication of meeting arrangements, the use of proxies, and voting procedures."
"20 Jul 2022,EIOPA issues guidance on incorporating the customer's sustainability preferences into the IDD suitability assessment.,Europe,Sustainable Finance,Financial Services,
                                                    European Insurance and Occupational Pensions Authority
                                                ,",https://www.globaldata.com/esg/regulatorysummary/eiopa-issues-guidance-on-incorporating-the-customers-sustainability-preferences-into-the-idd-suitability-assessment,EIOPA issues guidance on incorporating the customer's sustainability preferences into the IDD suitability assessment.,"Wednesday, 27 July 2022","The European Insurance and Occupational Pensions Authority (EIOPA) announced today its guidelines on taking the Insurance Distribution Directive's appropriateness assessment into account of the customer's preferences for sustainability (IDD). The Guidance, which is based on Commission Delegated Regulation (EU) 2021/1257, aims to make it easier for national competent authorities (NCAs), insurance companies, and insurance intermediaries who provide advise on insurance-based investment products to execute the Delegated Regulation (IBIPs)."
"20 Jul 2022,Health Canada has issued new regulations regarding supplemented foods.,Canada,Food and Agri Tech,Consumer; Food; Food & Drinks Ingredients,
                                                    Health Canada
                                                ,",https://www.globaldata.com/esg/regulatorysummary/health-canada-has-issued-new-regulations-regarding-supplemented-foods,Health Canada has issued new regulations regarding supplemented foods.,"Wednesday, 27 July 2022","Health Canada today unveiled new rules for foods with supplements. While giving Canadians the knowledge they need to make knowledgeable decisions about these foods, the new laws will continue to protect their health and safety. The industry will be able to offer consumers brand-new, cutting-edge items thanks to the new regulations. A standardised Supplemented Food Facts table, which contains details on the quantity of each supplemental ingredient supplied, will be present on all supplemental foods under the new regulations. This table is comparable to the Nutrition Facts table, which already aids Canadians in making informed food decisions. The new regulations also place tight compositional limits, usage guidelines, and restrictions on the kinds of foods that may be supplemented in order to lower potential health concerns. For instance, bread would not be seen as a suitable food category to be supplemented since it is already fortified for public health. The legislation would also continue the ban on adding supplements to food or using them as components of food to make edible cannabis."
"20 Jul 2022,Key acts and ordinances go into effect in the second half of 2022,Europe; Sweden,,Transportation; Infrastructure and Logistics; Government and Non-Profit Organisations; Agriculture & Forestry; Industrial Goods & Machinery; Technology; Media and Telecom; Financial Services; Construction,
                                                    Government of Sweden
                                                ,",https://www.globaldata.com/esg/regulatorysummary/key-acts-and-ordinances-go-into-effect-in-the-second-half-of-2022,Key acts and ordinances go into effect in the second half of 2022,"Wednesday, 21 September 2022",This compilation contains a selection of new and amended acts and ordinances that will go into effect in mid-2022.
"20 Jul 2022,The government will bolster and update the reservoir safety regime.,United Kingdom,Resource Scarcity; Natural Resources; Environment; Water Management,Government and Non-Profit Organisations,
                                                    Department for Environment, Food and Rural Affairs
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-government-will-bolster-and-update-the-reservoir-safety-regime,The government will bolster and update the reservoir safety regime.,"Wednesday, 27 July 2022","Over the upcoming years, the regulatory programme will be changed in cooperation with reservoir owners and engineers. The Government accepted all of the suggestions made in the second phase of an independent study by Professor David Balmforth, and has now committed to enhancing reservoir safety through regulatory reforms and modernization of the Reservoirs Act 1975. The reforms will help to ensure that the regulatory regime remains effective and robust in securing the ongoing safety of such critical infrastructure so that those living downstream of reservoirs are protected from flooding that could risk their lives and property, as the review recognises the strong safety track record of reservoirs in England. Reform of the regulatory programme will be delivered in collaboration with reservoir owners and engineers over the coming years, with a timeline that will ensure that the changes can be managed by industry while maintaining ongoing reservoir safety management."
"19 Jul 2022,Supporting Students with Disabilities and Preventing Discriminatory Use of Punishment: New Guidance for Schools,United States,Social; Human Rights,Government and Non-Profit Organisations,
                                                    U.S. Department of Education
                                                ,",https://www.globaldata.com/esg/regulatorysummary/supporting-students-with-disabilities-and-preventing-discriminatory-use-of-punishment-new-guidance-for-schools,Supporting Students with Disabilities and Preventing Discriminatory Use of Punishment: New Guidance for Schools,"Tuesday, 26 July 2022",New guidance released today from the Department of Education’s Office for Civil Rights (OCR) and Office of Special Education and Rehabilitative Services (OSERS) helps public elementary and secondary schools fulfill their responsibilities to meet the needs of students with disabilities and avoid the discriminatory use of student discipline. These newly released resources are the most comprehensive guidance on the civil rights of students with disabilities concerning student discipline and build on the Department’s continued efforts to support students and schools through pandemic recovery.
"19 Jul 2022,Contingent liability for new launches under the 2018 Space Industry Act,United Kingdom,Environment,Aerospace and Defence; Aerospace,
                                                    Department for Transport
                                                ,",https://www.globaldata.com/esg/regulatorysummary/contingent-liability-for-new-launches-under-the-2018-space-industry-act,Contingent liability for new launches under the 2018 Space Industry Act,"Tuesday, 26 July 2022","The Department of Transport intends to assume a new contingent responsibility in relation to any future launch operator licences issued under the 2018 act. The UK's participation in the 1972 United Nations Convention on International Liability for Damage Caused by Space Objects, the 2018 act's authority and duty to compensate operators and those who suffer harm or damage as a result of spaceflight activities in the United Kingdom, and the limitations on a launch operator's liability imposed by or under the 2018 act and the 2021 regulations all contribute to the liability. The departmental minute provides a detailed explanation of the events leading to the contingent liability."
"13 Jul 2022,Foreign nationals now have the right to access personal information under the Privacy Act,,Governance; Social; Personal Data Privacy,Technology; Media and Telecom,
                                                    Privacy Commissioner of Canada
                                                ,",https://www.globaldata.com/esg/regulatorysummary/foreign-nationals-now-have-the-right-to-access-personal-information-under-the-privacy-act,Foreign nationals now have the right to access personal information under the Privacy Act,"Wednesday, 20 July 2022","Foreign nationals living outside of Canada will be granted access to their personal data held by federal government institutions as of July 13, 2022, in accordance with the Privacy Act. Foreign nationals abroad now have the same access rights as Canadian citizens and permanent residents, as well as federal inmates and anybody else physically residing in Canada, thanks to Privacy Act Extension Order No. 3. Outside of Canada, non-Canadians can now see their information and ask for repairs if they think there was an error or omission. If individuals have a complaint about the exercise of these rights, they will also be able to contact the Privacy Commissioner of Canada."
"13 Jul 2022,The Securities and Exchange Commission has amended the proxy rules governing proxy voting advice.,United States,Governance; Shareholder Engagement,Government and Non-Profit Organisations,
                                                    U.S. Securities and Exchange Commission
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-securities-and-exchange-commission-has-amended-the-proxy-rules-governing-proxy-voting-advice,The Securities and Exchange Commission has amended the proxy rules governing proxy voting advice.,"Wednesday, 20 July 2022",The Securities and Exchange Commission voted today to adopt amendments to its proxy voting advice rules proposed in November 2021. The final amendments are intended to avoid imposing burdens on proxy voting advice businesses that could impair the timeliness and independence of their advice. The amendments also address misconceptions about the liability standards that apply to proxy voting advice while maintaining investors' trust in the integrity of such advice.
"13 Jul 2022,OSFI issues a new technology and cyber risk guideline that balances innovation with risk management.,Canada,Governance; Risk Management; Social,Government and Non-Profit Organisations,
                                                    Office of the Superintendent of Financial Institutions
                                                ,",https://www.globaldata.com/esg/regulatorysummary/osfi-issues-a-new-technology-and-cyber-risk-guideline-that-balances-innovation-with-risk-management,OSFI issues a new technology and cyber risk guideline that balances innovation with risk management.,"Wednesday, 20 July 2022","The final Guideline B-13 from the Office of the Superintendent of Financial Institutions (OSFI) was released today. This guideline outlines OSFI's expectations for how federally regulated financial institutions (FRFIs) should manage technology and cyber risks such as data breaches and outages, among other things. Because of the widespread use of technology and the increasing frequency of cyber incidents, there is an urgent need for improved regulatory guidance to FRFIs on technology and cyber risk management. The final Guideline B-13 issued by OSFI provides that guidance while allowing FRFIs to compete effectively and fully capitalise on digital innovation. Governance and Risk Management, Technology Operations and Resilience, and Cyber Security are the three ""domains"" that the Guideline is organised around, each of which outlines key components for sound risk management. Each of these domains, in turn, includes a desired outcome aimed at assisting FRFIs in understanding OSFI's expectations, focusing on the ""why"" and ""to what end"" of technology and cyber risk management. To give financial institutions enough time to self-assess and ensure compliance with this new guideline, the final Guideline B-13 will go into effect on January 1, 2024."
"12 Jul 2022,IB 22-28: In the West Yakutat District of the Gulf of Alaska, NMFS forbids directed fishing for Pacific Ocean Perch.,North America; United States,Marine Biodiversity; Sustainable Fishery,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/ib-22-28-in-the-west-yakutat-district-of-the-gulf-of-alaska-nmfs-forbids-directed-fishing-for-pacific-ocean-perch,"IB 22-28: In the West Yakutat District of the Gulf of Alaska, NMFS forbids directed fishing for Pacific Ocean Perch.","Tuesday, 19 July 2022","According to Jonathan M. Kurland, Administrator, Alaska Region, National Marine Fisheries Service (NMFS), directed fishing for Pacific ocean perch will be banned in the West Yakutat District (Statistical Area 640, between 140 and 147 degrees W. longitude) of the Gulf of Alaska (GOA) as of noon, Alaska local time, July 13, 2022. This order is issued in accordance with 50 CFR 679.20(d)(1) and is necessary to avoid the West Yakutat District of the GOA from exceeding the 2022 total permitted catch of Pacific ocean perch (iii)."
"11 Jul 2022,Amendments to Narcotics Ordinances regarding medical cannabis take effect on August 1, 2022.,Switzerland,,Agriculture & Forestry,
                                                    Swissmedic
                                                ,",https://www.globaldata.com/esg/regulatorysummary/amendments-to-narcotics-ordinances-regarding-medical-cannabis-take-effect-on-august-1-2022,"Amendments to Narcotics Ordinances regarding medical cannabis take effect on August 1, 2022.","Monday, 18 July 2022","The Narcotics Act will be amended on August 1, 2022, to abolish the ban on the use of cannabis for medical purposes. Cannabis handling for non-medical uses is still generally forbidden and will always need a Federal Office of Public Health exemption (FOPH). The Narcotics Control Ordinance (Betäubungsmittelkontrollverordnung) and the Narcotics List Ordinance (Betäubungsmittelverzeichnisverordnung) must both be amended as a result of this legislative reform. Amendments to the Narcotics List Ordinance with effect from 1 August 2022 Due to the removal of the prohibition in the Narcotics Act, cannabis for medical purposes will be reallocated from List d (prohibited narcotics) to List a (all substances subject to control measures) of Narcotics List Ordinance.As a result, the use of cannabis for medical purposes will be subject to regular control measures, like other controlled substances in List a (see Betäubungsmittelkontrollverordnung)."
"11 Jul 2022,Four First Nations in BC reach agreements on self-government in the area of education,Canada,Social; Community Impact; Indigenous Community Management,Government and Non-Profit Organisations,
                                                    Crown-Indigenous Relations and Northern Affairs Canada
                                                ,",https://www.globaldata.com/esg/regulatorysummary/four-first-nations-in-bc-reach-agreements-on-self-government-in-the-area-of-education,Four First Nations in BC reach agreements on self-government in the area of education,"Monday, 18 July 2022","The four First Nations now have recognised law-making authority over their Kindergarten–Grade 12 educational systems thanks to their signed education jurisdiction agreements with Canada, including authority over teacher certification, school certification, graduation requirements, curriculum, and course approvals. The occasion also marks the founding of the First Nations Education Authority (FNEA), which will help Participating First Nations build their capacity to deliver education on First Nation territory. Two directors nominated by each of the Participating First Nations will make up the board of the newly created FNEA. The FNEA, established July 1, 2022, will assist Participating First Nations in developing the capacity to provide education on First Nation land. The FNEA will exercise authority delegated by PFNs in the following areas:"
"8 Jul 2022,DOT Releases First-Ever Bill of Rights for Passengers with Disabilities and Requests Airlines to Provide Free Seating for Families,United States,Diversity and Inclusion; Social,Transportation; Infrastructure and Logistics; Airlines,
                                                    U.S. Department of Transportation
                                                ,",https://www.globaldata.com/esg/regulatorysummary/dot-releases-first-ever-bill-of-rights-for-passengers-with-disabilities-and-requests-airlines-to-provide-free-seating-for-families,DOT Releases First-Ever Bill of Rights for Passengers with Disabilities and Requests Airlines to Provide Free Seating for Families,"Monday, 18 July 2022","USDOT has taken steps to better protect airline passengers, according to actions announced today by US Transportation Secretary Pete Buttigieg. The USDOT has released the first-ever Bill of Rights for Airline Passengers with Disabilities and sent out a letter to airlines requesting that small children be seated close to a parent. The Airline Passengers with Disabilities Bill of Rights, an easy-to-use summary of the fundamental rights of air travelers with disabilities under the Air Carrier Access Act, will empower air travelers with disabilities to understand and assert their rights, and help ensure that U.S. and foreign air carriers and their contractors uphold those rights."
"8 Jul 2022,Increased Red Grouper Catch Limits in the Gulf of Mexico Announced by NOAA Fisheries,United States,Marine Biodiversity; Sustainable Forestry,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/increased-red-grouper-catch-limits-in-the-gulf-of-mexico-announced-by-noaa-fisheries,Increased Red Grouper Catch Limits in the Gulf of Mexico Announced by NOAA Fisheries,"Thursday, 14 July 2022","The Fishery Management Plan for Reef Fish Resources of the Gulf of Mexico's final regulation is made public by NOAA Fisheries. The overfishing limit, acceptable biological catch, yearly catch limits, and annual catch objectives for Gulf of Mexico red grouper will all be updated as a result of this framework modification and final rule. Regulations become effective August 8, 2022."
